Node,Parent,Children
0,,[1]
1,0,[2]
2,1,[]
3,14,[]
4,5,[]
5,16,[4]
6,7,[]
7,8,[6]
8,19,[7]
9,19,[]
10,0,[]
11,10,[]
12,11,[22]
13,14,[]
14,15,"[3, 13]"
15,16,[14]
16,17,"[5, 15]"
17,18,[16]
18,19,[17]
19,29,"[8, 9, 18]"
20,10,[]
21,20,[]
22,12,[32]
23,12,[24]
24,23,[]
25,35,[]
26,36,[]
27,36,[]
28,38,[29]
29,28,[19]
30,31,[]
31,21,"[40, 30]"
32,22,[]
33,23,[]
34,33,[44]
35,34,"[36, 45]"
36,35,"[26, 27, 37]"
37,36,[38]
38,37,"[49, 28, 39]"
39,38,[]
40,31,[50]
41,31,[42]
42,41,"[43, 52]"
43,42,[]
44,34,"[54, 55]"
45,35,[46]
46,45,[47]
47,46,[48]
48,47,[]
49,38,[]
50,40,[60]
51,41,[]
52,42,[53]
53,52,[63]
54,44,[64]
55,44,"[56, 66]"
56,55,[57]
57,56,[58]
58,57,[59]
59,58,[69]
60,50,[]
61,51,[]
62,63,[]
63,53,"[73, 62]"
64,54,[65]
65,64,[75]
66,55,[67]
67,66,"[68, 77]"
68,67,[]
69,59,[]
70,71,[]
71,61,[81]
72,73,[]
73,63,"[72, 74, 83]"
74,73,[]
75,65,"[76, 85]"
76,75,[86]
77,67,[78]
78,77,"[88, 79]"
79,78,[89]
80,70,[]
81,71,[82]
82,81,[92]
83,73,"[84, 94]"
84,83,[]
85,75,[95]
86,76,[87]
87,86,[97]
88,78,[98]
89,79,[]
90,80,[]
91,90,[]
92,82,[93]
93,92,[]
94,83,[]
95,85,[96]
96,95,[]
97,87,[]
98,88,[99]
99,98,[]
